BSSID, First_time_seen, Last_time_seen, channel, Speed, Privacy, Cipher, Authentication, Power, N_beacons, N_IV, LAN_IP, ID-length, ESSID, Key
B2:1B:0C:67:0A:BD, 2023-07-28 10:34:29, 2023-07-28 10:34:29, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
0A:24:D8:D9:24:70, 2023-07-28 10:35:31, 2023-07-28 11:43:22,  1, 130, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,   9, IgorKotya, 
E0:D9:E3:49:00:B1, 2023-07-28 10:35:31, 2023-07-28 10:35:31,  1, 130, OPN, ,   , -70,        1,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:BD:52, 2023-07-28 10:36:14, 2023-07-28 10:36:14, 11, 130, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,  13, MIREA_HOTSPOT, 
E8:28:C1:DC:54:B0, 2023-07-28 10:36:42, 2023-07-28 10:37:18, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E0:D9:E3:49:00:B0, 2023-07-28 10:37:15, 2023-07-28 10:37:16, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DC:33:10, 2023-07-28 10:37:25, 2023-07-28 10:51:31, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:28:C1:DB:F5:F0, 2023-07-28 10:37:27, 2023-07-28 10:51:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,  12, MIREA_GUESTS, 
E8:28:C1:DE:72:D0, 2023-07-28 10:37:29, 2023-07-28 10:37:29, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E0:D9:E3:49:04:41, 2023-07-28 10:38:54, 2023-07-28 10:38:54, 40,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:02:B9:73:83:18, 2023-07-28 10:38:54, 2023-07-28 11:55:11,  1, 130, WPA2, CCMP, PSK, -84,       17,        0,   0.  0.  0.  0,  12, C239U52 6706, 
B2:CF:C0:00:4A:60, 2023-07-28 10:40:54, 2023-07-28 10:40:59,  6, 180, WPA2, CCMP, PSK, -67,        4,        0,   0.  0.  0.  0,  25, Михаил's Galaxy M32, 
38:1A:52:0D:8F:EC, 2023-07-28 10:40:54, 2023-07-28 11:24:49, 11, 130, WPA2, CCMP, PSK, -66,      107,        0,   0.  0.  0.  0,  24, EBFCD6C2-EE81fI_DR21AOa0, 
00:26:99:F1:1A:E1, 2023-07-28 10:41:58, 2023-07-28 10:41:58,  1,  54, WPA2, CCMP, PSK, -76,        0,        0,   0.  0.  0.  0,   3, IKB, 
92:F5:7B:43:0B:69, 2023-07-28 10:41:58, 2023-07-28 11:55:10,  6, 180, WPA2, CCMP, PSK, -64,       18,        1,   0.  0.  0.  0,   8, Redmi 12, 
A6:02:B9:73:2F:76, 2023-07-28 10:42:14, 2023-07-28 11:51:18,  1, 130, WPA2, CCMP, PSK, -83,       26,        0,   0.  0.  0.  0,  12, C239U51 0701, 
A6:02:B9:73:81:47, 2023-07-28 10:43:11, 2023-07-28 11:53:35, 11, 130, WPA2, CCMP, PSK, -82,       19,        0,   0.  0.  0.  0,  12, C239U53 6056, 
38:1A:52:0D:90:5D, 2023-07-28 10:44:15, 2023-07-28 11:55:10, 11, 130, WPA2, CCMP, PSK, -67,       90,        0,   0.  0.  0.  0,  24, EBFCD615-EE81fI_DOL1AO8w, 
8A:A3:03:73:52:08, 2023-07-28 10:48:03, 2023-07-28 11:45:34,  1,  65, WPA2, CCMP, PSK, -69,        0,        0,   0.  0.  0.  0,  15, Galaxy A30s5208, 
00:23:EB:E3:44:32, 2023-07-28 10:48:54, 2023-07-28 10:48:54,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:26:CB:AA:62:72, 2023-07-28 10:51:10, 2023-07-28 10:51:10,  1,  54, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,   4, GIVC, 
E0:D9:E3:48:B4:D2, 2023-07-28 10:51:52, 2023-07-28 10:51:52, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AE:3E:7F:C8:BC:8E, 2023-07-28 10:54:06, 2023-07-28 10:54:06, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   9, Igorek✨, 
02:B3:45:5A:05:93, 2023-07-28 10:54:47, 2023-07-28 10:54:47, 11, 360, WPA2, CCMP, PSK, -75,        0,        0,   0.  0.  0.  0,   8, HONOR 30, 
00:00:00:00:00:00, 2023-07-28 11:02:02, 2023-07-28 11:02:02,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
6A:B0:1A:C2:DF:49, 2023-07-28 11:02:12, 2023-07-28 11:02:12,  6, 130, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,  12, , 
